traget_word	sentence_a	span_a_strat	sentence_b	span_b_strat	True_label	pre_label	predict_probs
日子	父亲的品德,父亲的风范,言传身教,令我受用终身……我珍惜和父亲在一起生活的日子,我深深地爱着我的父亲。	37	趣事二:常昊在获得“霸王”挑战权时感慨地说:“与王磊白天同场操戈,晚上同室相居,这样的日子不知怎么过?	43	1	1	[0.04324619844555855, 0.9567538499832153]
走	省委书记卢荣景、省长回良玉和副书记王太华、方兆祥也纷纷下到大别山区的岳西县,大包干的发源地滁州,以及淮河两岸的贫困乡村,走村串户,慰问农民群众。	60	实现我国的三步走发展战略,实现提高人民物质和文化生活水平的根本宗旨,一方面需要安定团结的国内政局,另一方面需要和平的国际环境,特别是良好的周边环境。	7	0	0	[0.9999562501907349, 4.372006515040994e-05]
运动	他们跑来和我谈计算几何方面的问题,如把图像运动表示出来等。	21	另一方面观测X—射线双星系统轨道运动的种种效应,又可以准确地确定每个子星的质量,果然在这一类天体中找到了一些质量超过3个太阳质量的致密天体,比如天鹅座的X—1源,就是这样一个黑洞的候选天体。	16	1	1	[1.1416829929564837e-15, 1.0]
冲击	经得起时间考验的友情,经受住风浪冲击的友情,那是心的贴近,灵的融洽;那是肝胆相照,荣辱与共,喜怒相通,哀乐相应;那是春光中携手并肩,雨雪里扶持呵护;那是逆旅跋涉志不改,道路坎坷情不变。	16	终究会有一些产量小、成本高的企业承受不住持续降价的冲击,被淘汰出局,使企业数量减少。	25	0	1	[8.056814112933353e-05, 0.9999194145202637]
日子	“还不是旱的,从1959年到1995年,俺村36年就没种过麦子,秋季也是种一葫芦收一瓢,口粮全靠救济,那日子就甭提了。	52	他悄声告诉记者,开车每月能挣4万第纳尔,比周围邻居的日子强多了。	26	1	1	[6.022400893951341e-12, 1.0]
材料	《简明版》的知识体系以《中国大百科全书》第一版为基础,删除了第一版各卷中重复、交叉、过专、过僻的条目,归并了散见在各卷中从不同角度阐述的、属于同一主题的条目,增补了第一版欠缺的知识总论、国家、能源、材料、信息、旅游、民俗以及服饰、烹饪、家政等方面的条目,补入了第一版问世后出现的新知识,更新了第一版的资料和数据。	99	会议决定,关于干部违法乱纪的材料必须经市、州各有关机关和最高纪律委员会审查后才能作出处理结论。	14	0	0	[1.0, 5.94572130347196e-17]
包	甘北林结合实际说,实行自主择业改革后,国家虽不再承担对毕业生“包分配”的任务,但仍然要对毕业生就业进行必要的宏观调控和政策指导,以保证毕业生顺利就业。	31	记者注意到,半个小时左右时间,就有10来个人到朱师傅这里钉鞋、钉包。	32	0	0	[0.6413760185241699, 0.3586239516735077]
运动	芬兰科学家发现,经常运动的人早死的危险性比不运动的人要低56%,偶尔运动的人死亡的危险性也要比久坐不运动的人低1/3。	10	201—300为四级,属中度污染,接触一定时间后,心脏病和肺病患者的症状将显著加剧,运动耐力下降,健康人群也会出现不良反应。	42	1	0	[0.9959102869033813, 0.004089721944183111]
包	北京高校毕业生就业指导中心甘北林主任向记者解释说,毕业生自主择业制度改革,将带给毕业生比以往“国家包分配”的学生更多的择业自主权,但绝不是无限制、无序的“自由择业”,而是“根据国家需要,在国家就业方针政策指导下,由学校推荐毕业生在一定范围内自主择业”。	49	去年我新签外包工程和劳务合作113亿美元	6	0	0	[0.996644914150238, 0.003355044173076749]
包	如平某身为护理部的负责人,又管理着手术器械包,但数年来,她只清点敷料,不清点器械,工作极端马虎,终于导致重大医疗事故的发生。	21	现在,我做包的质量没得说,敢和广州的产品比试高下!	5	1	1	[1.775906490001808e-21, 1.0]
分子	按照恩格斯的说明,是因为那时“信奉各种空想学说的分子”和“各种各样的社会庸医们”都称为“社会主义者”。	24	解放军军事医学科学院放射医学研究所科技人员运用分子进化规律,成功推测并发现了中国汉族人—干扰素的独特亚型。	23	0	1	[9.058939362538432e-12, 1.0]
走	告别马家兄弟,没走几步,只见前方一个戴眼镜的年轻人朝我们一路小跑过来。	8	正当中国文艺园地阳光明媚、百花盛开之际,孙禹走来了,重返中国歌剧界。	22	0	1	[3.739093035193264e-09, 1.0]
日子	她带几分无奈地说,个人和单位都没入保险,后续生活并没保障;全家只靠丈夫四五百元的收入,日子确实紧巴巴。	43	今天是欧盟各成员国发表去年经济数据统计结果的日子。	22	0	0	[1.0, 1.358629730088465e-15]
研究	所以经党支部和村委会研究,决定从4月1日起,下村干部一律由村民派饭。	10	特别是对于一些看好的项目还要经主管部门反复讨论,再三研究,手续繁杂,好的发展机遇往往因时间耽误而白白丧失。	26	0	1	[2.4600930181861713e-09, 1.0]
分子	为了打击犯罪团伙,尤其是非法分子搞的形形色色地下经济活动,政府采取了一系列有力措施并收到了一定成效。	14	宋子文、宋美龄到西安,12月23日与周恩来、张学良、杨虎城谈判改组南京政府,排逐亲日派,加入抗日分子,宋子文提出驱除亲日分子名单,推荐孔祥熙任院长,宋子文为副院长,及各部部长。	48	1	0	[1.0, 1.842147783923715e-21]
运动	健力宝开创了我国运动饮料从无到有、并与国际名牌一争高低的局面,健力宝人创造了一个奇迹。	8	我们期待着首次涉足大型国际橄榄球比赛的中国队能有出色表现,也期待通过中国队的参赛而推动国内橄榄球运动大步向前迈进。	48	1	0	[0.9999923706054688, 7.688628102187067e-06]
突出	必须从社会和经济的长远发展需要出发,统观全局,突出重点,实行‘有所为有所不为’的方针”。	23	突出重点从严查处新疆制止奢侈浪费动真格	0	1	1	[1.2579420172187383e-07, 0.9999998807907104]
没有	总部的管理人员可能没有时间熟悉产品专门知识,无法运用既有知识恰当评价经营单位经理的建议与业绩。	9	汕头市公安局推行报警回执制度一年来,较好地解决了群众报警难的问题,再也没有群众投诉“报警无门”。	35	0	1	[0.006553519982844591, 0.993446409702301]
老	通过技术进步,不断开发新产品,淘汰老产品,发展名牌产品,大幅度提高高科技产品的市场占有份额。	17	在开罗“工程师城”区的阿盟大街上,有一家80多年的羊肉老店“塔比伊·杜米亚特”,现在也兼营快餐。	27	1	0	[0.8981585502624512, 0.10184141993522644]
冲击	江苏作家柏古的长篇小说《同志同志》,围绕当今社会被扭曲了的同志关系和在经济大潮的冲击下刚直不阿的同志形象,通过改革开放在人们心灵间产生的震撼和各种心态的表现,生动描绘了广大基层干部不畏艰难、坚守信念的形象。	40	德国马克和日元一再向美元发起冲击,但美元在国际贸易、国际资本市场和国家储备中的地位,并没有像美元汇率那样一泻千里。	14	0	0	[1.0, 1.2324419993736766e-41]
路	因此,各小党成立后,大家又都在摸索新的联合之路。	22	本报讯河北省廊坊市工商局直属分局引导下岗职工走个体经营之路,1996年以来在市区新建扩建了3个专业市场和4个夜市,安排下岗职工2850人,占市区下岗职工总数的78%。	28	1	1	[5.660713668476092e-06, 0.9999943971633911]
少	过去逢年过节,总是“车水马龙”到机关“慰问”,现在少多了。	25	经截肢输血,伤员脱离了生命危险,但少了一只手的患者术后心灰意冷,痛不欲生。	17	1	0	[1.0, 3.046681017280367e-13]
把握	他不仅把握时机,帮助父亲谋划和领导了惊心动魄的晋阳起兵,建立了大唐政权,而且在统一全国的六大关键战役中,亲自指挥了四次。	3	邓小平理论能够反映时代特征、把握时代脉搏、回答时代课题,就在于它有着这一明确的崇高的追求。	14	0	0	[1.0, 0.0]
材料	市委、市政府提出,要使高新技术成为首都经济新的增长点,以北京市新技术产业开发试验区和北京经济技术开发区为基地,以信息产业为龙头,以商品化、产业化和国际化为目标,逐步形成以电子信息、生物工程和新医药、光机电一体化、新材料等新兴产业为主导的高新技术产业群;同时,积极利用高新技术改造传统产业。	107	不管我们相不相信作者从丰富的史前神话、宗教、社会材料得出的有关史前的全球化存在的结论,分散于各地的史前文化的相似性应该一直是一个历史与哲学的思域。	24	0	0	[0.9991936087608337, 0.0008063840796239674]
走	说完,推着小车摇摇晃晃地向前面走去,边走边按喇叭,清脆响亮的声音传出很远。	15	从那以后,每当我走上售票台,就会想起这位热心肠的老人。	8	1	0	[0.9566393494606018, 0.04336068779230118]
分子	我国著名科学家钱学森最近指出,生命学是科学理论中最深层次问题之一,科学家直到现在知道的生物,都是基于碳氢氧氮大分子,并生活在水的环境中的,现在已在星际空间中发现氨基酸的存在,那这就是这种生命的发源了。	55	多年来,埃及一直指责苏丹向反政府的埃及穆斯林武装分子提供庇护,并卷入1995年在埃塞俄比亚首都刺杀埃总统穆巴拉克的未遂事件。	24	0	0	[1.0, 3.0779891425109666e-20]
日子	到五六月份,新草才能长出,灾区人民在寒冷的日子里还要苦熬几个月。	21	这是一次失败的打工经历,我在很长的时间里一直在想着那段日子。	27	1	0	[0.9999998807907104, 6.558510534659945e-08]
活动	周总理这个非常明智的处理,为人民政协、民主党派在粉碎“四人帮”后恢复活动和开展工作奠定了基础。	34	他抱着试一试的心理,找到了王令喜,不料三个疗程下来,行走活动自如了,他高兴得像个孩子似的,执意要给王令喜“请功”。	28	0	0	[1.0, 1.4872762282083995e-29]
路	签字仪式由著名物理学家、全国政协副主席朱光亚主持,钱伟长、周光召、路甬祥、陈至立及科技教育界的代表近百人出席。	33	本报讯河北省廊坊市工商局直属分局引导下岗职工走个体经营之路,1996年以来在市区新建扩建了3个专业市场和4个夜市,安排下岗职工2850人,占市区下岗职工总数的78%。	28	0	0	[1.0, 1.5043720341051849e-21]
运动	他们不仅自发地组织了『拯救经济,再创汉江奇迹』一千万人签名运动,而且还把『压在箱底下的美元』,储蓄到银行,短短几天就储蓄了十亿美元之多。	29	因此,象棋在我国被称之为群众基础最广泛的“第一普及智力运动”。	27	0	1	[1.8690298671263962e-15, 1.0]
日子	《中国:与贫困决战》告诉人们,实现这个嘱托的日子已经为期不远了。	22	克林顿总统上月21日祝贺伊朗新年时表示:“美伊重归于好的日子将会很快到来。	28	1	1	[2.7912641350960205e-27, 1.0]
冲击	果然,萨拉斯的猛烈冲击,让对方守门员不得不在球门线内接球。	9	假冒伪劣品的成本只是万家乐的1/3或1/2,可靠性、安全性没有保障,对万家乐产品形成低价冲击和形象损害,使万家乐的售后服务陷入许多不该有的争端中。	44	0	1	[3.212700504934274e-12, 1.0]
起来	“让您站起来,让您走起来”,杨大夫对每一个中风偏瘫患者都充满希望。	4	接着便看见笑逐颜开的男女老少夹着坐垫、小板凳,把侯树忱团团围起来。	30	0	1	[5.936195748290629e-07, 0.9999994039535522]
突出	(三)为保护电力设施而同自然灾害作斗争,成绩突出;	22	当前,首先要抓住当地最突出,群众反映最强烈,关联度最大的问题作为突破口开展工作,力争在一段时间内解决好一两个突出问题,以带动农村各项工作全面发展。	11	0	1	[2.3934323361293312e-26, 1.0]
路	上午10时,北岸党工委等部门的领导在郑海雄的带领下,分几路到各乡镇农家向农民拜年。	28	约14时30分左右,蒋坝镇居民肖强和其表弟路传俊驾驶无证照牌双排座小型货车,由南往北行至施工路段南端时,一名执勤养路工迅速打手势让车辆从未施工的路面上通过(西半幅路面包括加宽部分足有7米,10吨货车都能通过)。	21	0	0	[0.8276748657226562, 0.17232511937618256]
路	今天,浦东新区还成立“科技顾问团”,聘请李政道、谈家桢、路甬祥、王大中、杨福家等11位国内外知名学者、中科院院士担任科技顾问,为浦东高新技术产业发展出谋划策。	28	据介绍,中国科学院第九次院士大会将听取路甬祥院长的工作报告;进行各学部常委会的换届选举;修订并通过《中国科学院院士章程》;选举第三批中国科学院外籍院士;以及颁发陈嘉庚奖。	19	1	0	[0.9999970197677612, 2.9902089409006294e-06]
分子	解放军军事医学科学院放射医学研究所科技人员运用分子进化规律,成功推测并发现了中国汉族人—干扰素的独特亚型。	23	军事医学科学院有关专家在分子进化理论研究的基础上,推断不同肤色异族人种的—干扰素应存在一定差距,并据此认为西方人源干扰素产品不适于中国病人长期使用,否则可能因免疫学反应而降低药效并产生副作用。	12	1	1	[2.5758974963349494e-14, 1.0]
起来	忽然眼前有人推过一把轮椅,上面坐着一位身躯有些弯曲的老人,他颤抖地站起来,摆手让推轮椅的人和轮椅离去。	34	北京武术队经历了预赛成绩不理想的挫折,也尝到了摔倒后爬起来奋起直追、直至到达顶峰的欣喜。	27	1	0	[1.0, 3.72325339423201e-23]
走	1996年春天,300多只野鸭飞到通化市区附近的一条河流上,市林业公安局的民警日夜在江边守护巡逻,直到半个多月后“客人”安全飞走。	63	1972年,年已三十的薛凤尤去安徽办事,遵母吩咐顺路经坞乡集寻找姐姐,只得了个“你姐已于土改那年跟亳县拉煤的马车走了”的消息。	56	1	1	[0.0025893200654536486, 0.9974107146263123]
分子	但愿服务行业在为人民服务时,不仅仅是承诺过就算了,而是能认识到消费者并不是自己的对立面,每一个人都是社会的一分子,社会主义的精神文明还需要大家共同来创造。	54	事件发生一小时后,谢瓦尔德纳泽马上发表声明,称这次事件并非本地破坏分子所为,而是国际恐怖势力精心策划的。	33	1	0	[1.0, 3.9796876386824805e-43]
日子	好像未来的每个日子,白天必得波光诡谲风云迭起,夜晚灯下一一秉笔直书,才能无愧地将如此雅致的空白填满。	7	据介绍,今天是大学报名的日子,很多来自全国乃至世界各地的青年男女学生,都赶来这里报名。	12	0	1	[0.0007619235548190773, 0.999238133430481]
分子	《报告》把中国符合国际准则的一些规定和做法作为“侵犯人权”的证据,正好说明作者的真实目的是借口人权支持中国的少数反政府分子,破坏中国的稳定,并最终颠覆中国合法政府,改变中国的发展道路。	59	人所共知,生物DNA中贮存着“种瓜得瓜,种豆得豆”的丰富信息,它们以基因的形式排列组合在DNA分子中。	47	0	0	[0.9999961853027344, 3.868400654027937e-06]
老	比如县重灾乡的数千名灾民被冰雪围困多日,当他们接到政府送来的食物、衣服和燃料时,许多人激动得泣不成声,一位叫扎西的老牧民说:“政府对我们灾民太好了,是我们的救命菩萨。	57	痴心不改老而弥坚	4	1	0	[0.9999973773956299, 2.6674626951717073e-06]
冲击	假冒伪劣品的成本只是万家乐的1/3或1/2,可靠性、安全性没有保障,对万家乐产品形成低价冲击和形象损害,使万家乐的售后服务陷入许多不该有的争端中。	44	赛后,此次世锦赛调研组成员、上海东方女篮主教练丛学娣认为:郑海霞不应当作“常规武器”使用,在关键时刻派她上场,趁对手来不及调整战术时冲击也许更有效果。	66	0	1	[5.413809276433312e-07, 0.9999994039535522]
运动	他们跑来和我谈计算几何方面的问题,如把图像运动表示出来等。	21	为地震预报提供科学依据我国大范围布设地壳运动观测网	20	1	0	[0.5669817328453064, 0.433018296957016]
包	她进货也从不雇人背包,总是自己把沉甸甸的大包从市场背上火车,下了火车,再背回家里。	9	这些基建项目,有的不公开招标投标或向没有资质等级的个体施工队转发包;有的不进行开工前审计,不办理工程规划许可证,还有的交付时不验收。	32	0	1	[3.2451221872741335e-18, 1.0]
走	正当中国文艺园地阳光明媚、百花盛开之际,孙禹走来了,重返中国歌剧界。	22	如果东南亚金融形势能再保持一段平静,没有大的动荡爆发,会有更多的公司走通用的路。	34	0	1	[1.0073480624472497e-21, 1.0]
路	住在劳动北路任家村的老人王承华、聂永芳夫妇家里却情暖融融。	5	火炬于1月4日在东京点燃后,于6日分别从北海道札幌市、冲绳县那霸市和九州岛鹿儿岛县分三路开始了穿越全日本47个县的接力活动。	43	0	0	[1.0, 2.5068308601432583e-27]
少	数十人在一起,有老有少,有男有女,难以同唱一首歌。	10	此前,出版界很少有一套系统的丛书,能为我们提供弥补这种缺憾可能。	7	0	0	[1.0, 4.354634697278925e-08]
活动	京沪元旦登高活动别具一格万人奋勇争先电视双向传送	6	他们认为,美国正通过放宽对伊朗官员在美境内活动的限制,谨慎地作出愿意改善同伊朗关系的姿态。	21	0	1	[0.00016961360233835876, 0.9998303651809692]
研究	水稻基因组物理全图的构建,为最终揭示水稻的遗传信息奥秘和农作物育种作出了重大贡献;转基因杂交稻成功地将抗除草剂基因植入水稻,对解决杂交稻制种的纯度问题具有十分现实的意义,标志着我国在基因工程研究实用化方面取得可喜的进展;三峡截流则在基础、技术研究方面开创性地解决了大量科学难题,创下了水电工程的世界纪录。	95	灾情发生后,河北省市县三级迅速成立抗震救灾指挥部,研究应急措施,安排抗震自救。	25	0	1	[0.01136875431984663, 0.9886311888694763]
没有	上午我们这一路的检查结果并不令人鼓舞:检查了三户没有一户合格,要么质量上以次充好,要么分量上缺斤短两。	24	山东队是本赛季唯一没有人员变化的球队,却取得积分榜第二的位置。	9	0	1	[0.24349810183048248, 0.7565019726753235]
少	去年全球共发生了17次大地震,比1996年的21次要少,也低于近年来每年20次的平均数。	26	本报北京1月4日讯记者周泓洋报道:针对林业产业布局不合理,高附加值产品少,初级产品生产能力利用不足,产销衔接水平偏低的实际,1997年林业部加大了结构调整力度,取得了显著成效。	35	1	1	[2.538916987759876e-08, 1.0]
坐	这一天,天空忽然霹雳一声炸响,一个五光十色的彩团穿过滚滚乌云,落到如今云南东部的狮子山上……云娇睁眼一看,自己已到凡间,坐在一块巨石上,四周树木葱郁,干云蔽日……	60	平时做弥撒的排椅上,散坐着三三两两的游客,有的低头合十,在管风琴悠悠的鸣响中,默然感受着、体验着浸润身心的安详静穆的声息。	11	1	1	[4.998636189213271e-15, 1.0]
活动	通知强调,组织高校学生学习邓小平理论要做到三个结合:一要同学习贯彻党的十五大精神结合,帮助青年学生正确理解和执行党的路线、方针和政策;二要同学习我国社会主义建设的历史结合,从而认识邓小平理论产生、形成的历史必然性,加深对邓小平理论的理解;三要同我国改革开放的实践结合,利用假期、课余、周末时间,大力开展社会实践活动,在亲身体验的基础上深刻领会邓小平理论的精髓。	155	数据分析表明,木卫二上存在活动的“冰山”。	13	0	1	[4.369714163724141e-29, 1.0]
钱	他家中有妻子和两个孩子,打算干几年挣点钱就回国去。	19	钱其琛在讲话中指出,中国和南非建立外交关系,是两国关系史中一个重要里程碑,标志着两国友好合作关系新篇章的开始。	0	0	1	[3.24857947136236e-17, 1.0]
材料	在新的一年里,将有更多包含系统设计思想、采用高科技材料和先进工艺制作的新产品投放市场。	25	《外商投资产业指导目录》中国家鼓励和支持的外商投资项目主要是以下几个领域:第一,农业新技术、农业综合开发和能源、交通、重要原材料;第二,高新技术、先进技术,能够改善产品性能、节约能源和原材料、提高经济效益,以及适应市场需求而国内生产能力不足的新设备、新材料;第三,适应国际市场需求,能够提高产品档次,开拓新市场,扩大产品外销,增加出口的项目;第四,资源综合利用以及防治环境污染的新技术和新设备;第五,能够发挥中西部地区资源优势和劳动力优势的项目。	62	1	0	[1.0, 3.260818797786855e-26]
日子	《中国:与贫困决战》告诉人们,实现这个嘱托的日子已经为期不远了。	22	按说,家中的日子还算富裕,也没必要让爷爷开这个托儿所。	6	0	0	[1.0, 1.0679747364239489e-10]
日子	你见过道不拾遗没有,我却相信;但夜不闭户的日子,我经过,你信吗?	21	年轻的乡长赵志刚向朱运宽介绍说,三台山乡这些年来粮食年年丰收,通了电,通了水,日子越过越好,希望老知青们今后多回来走走看看,帮助发展。	39	1	0	[1.0, 1.1208638023909632e-26]
活动	中国地震局分析预报中心震情室主任丁鉴海研究员说,一般大地震后的余震会持续一段时间,有的活动几年或者几十年。	43	这表明木卫二有活动的内核,它能提供热量,使这种海洋成为容纳生命的理想场所。	7	0	0	[0.9991936087608337, 0.0008063840796239674]
起来	安徽广大农村高、低压电网及其电力设施,与全国其他地方一样,是六七十年代因陋就简建设起来的,许多环节先天不足。	41	接着便看见笑逐颜开的男女老少夹着坐垫、小板凳,把侯树忱团团围起来。	30	1	0	[1.0, 1.8950603608832682e-17]
包	几天后,刘志祥再一次出现在胡忠友的家门口,给胡忠友一家带来一大包半新的衣服和鞋子等物。	31	而据我了解,该商场日销售额达20余万元,可见客流量之大,但每班负责存包的只有两人,且我存包时只有一人在场,忙于应付拥挤的顾客,这样的状况,很难保证不出差错。	34	1	1	[2.6790921979252987e-14, 1.0]
走	在丘陵山区小流域治理中,江苏各地坚持走山水田林路统一规划、工程措施和生物措施相结合的治理路子,逐步形成了水土保持五大体系,即水资源工程体系、高标准农田工程体系、多种经营体系、生态防护体系和乡村服务体系。	18	青少年时的伍修权,在我党早期著名领导人陈潭秋、董必武引导下,走上了革命道路。	30	1	1	[2.36112020056177e-27, 1.0]
运动	它利用电子高速运动产生的隧道作用,使电子突破在经典物理学中无法逾越的能量界限,来实现晶体管的开关效应,并可以用特定频率的光来进行开关控制。	7	之所以有这样奇特的效果,因为这家电影院的座椅,用的是六自由度的运动平台。	31	1	1	[3.6584610926425875e-23, 1.0]
地方	不改革,中央和地方的责权关系不清,中央财政不堪重负,影响经济发展全局;不改革,国有粮食企业就难以扭转亏损,不能担当粮食流通主渠道的重任;不改革,不利于保护农民的生产积极性,必将影响粮食生产的持续稳定增长。	7	他让当时任副委员长的乌兰夫同志主持,以全国人大民委为主,国家民委有关同志参加,吸收中央和地方的有关同志一起,提出宪法民族部分的修改草案,并且就重大原则问题给予指示。	44	1	1	[4.776700279762736e-07, 0.9999995231628418]
分子	首先,申请厂家必须提供充分的科学实验证据,阐明新药单体化合物或蛋白质分子的理化特性与生物学活性,并向FDA递交充分的动物实验资料,证明新药的安全性与有效性。	34	据统计,去年该支队共破获走私、偷渡案件180多宗,抓获偷渡分子400多人,缴获走私物品总价值8000多万元人民币。	29	0	1	[1.5376292139990255e-05, 0.999984622001648]
钱	我们争取抽出部分钱来捐给“幸福工程”,让更多的贫困母亲得到救助。	8	还有老新闻工作者钱江同志的夫人张建珍捐来2000元。	8	0	0	[0.9299227595329285, 0.07007724791765213]
包	该市有86个党政机关、企事业单位对全市11个极贫乡、75个极贫村进行定点扶贫,紧紧围绕开发式扶贫这个中心,用项目带动贫困区的发展;同时,市扶贫开发领导小组与各区县(市)签订扶贫开发责任状,乡村采取干部包、党员扶、富户带等方法层层落实责任制,把扶贫目标落实到户。	100	从1984年开始,汕头市即采取政府统建补贴出售住房的办法,改革了群众住房完全由政府统包统建的旧制度。	42	1	1	[0.25062376260757446, 0.7493762373924255]
走	爷爷拄着一根柳木拐杖,去河那边走亲戚。	15	我沿着这蜿蜒的幽径一路行来,脚下的暖雪已然有半尺多深,皮鞋踏在上边,发出吱吱的脆响,留下深深的脚印,走不多远,回头看时,那脚印已然被雪花覆盖,只留下一抹隐隐的痕迹。	50	0	1	[0.005385379772633314, 0.9946146607398987]
运动	他们不仅自发地组织了『拯救经济,再创汉江奇迹』一千万人签名运动,而且还把『压在箱底下的美元』,储蓄到银行,短短几天就储蓄了十亿美元之多。	29	因此,象棋在我国被称之为群众基础最广泛的“第一普及智力运动”。	27	0	0	[1.0, 6.834369441904853e-12]
老	当时英国富人们纷纷携老带小,移居海外。	10	据调查,纽约地铁火车车速缓慢的主要原因是管理当局最近几十年来没有很好利用地铁新技术,有些线路虽然更新了车辆,但沿线的指示系统和控制系统都是几十年前的老设备,根本无法适应快速运行的需要。	74	0	0	[1.0, 2.5758668371218787e-41]
运动	他认为,世界排名并不能说明一切,中国选手的排名较靠前,只能说明他们的训练收到了预期的效果,运动水平、技术有了提高。	45	日本名将伊达公子、阿根廷名将萨巴蒂尼在运动生涯的高峰期引退也是因为她们预感到自己将难以承受巨大的赛事压力。	19	1	1	[5.368194333499332e-09, 1.0]
分子	事件发生一小时后,谢瓦尔德纳泽马上发表声明,称这次事件并非本地破坏分子所为,而是国际恐怖势力精心策划的。	33	值得注意的是,虽然“劳斯莱斯狂热分子俱乐部”也喊了两声“这是对民族遗产的背叛”,但英国公众对“国宝”流失并没有表现出痛心疾首的情绪。	16	1	1	[0.00037346206954680383, 0.9996265172958374]
少	我们所强调的抓落实,就是要遵循客观规律,重视和善于调动群众的积极性,把力气真正使到刀刃上,少投入多产出,争取事半功倍;要运用科学技术的力量,努力开拓新的局面。	45	但少说套话,是应该可以做到的。	1	1	1	[1.1363589236257354e-10, 1.0]
日子	大约是从1997年开始,不仅北京、张家口的居民不再受限电之苦,全国绝大多数地方的居民,也都有这样的感觉:点蜡的日子越来越少了。	55	如同我一生都在咀嚼塞北风沙的日子,一天又一天,我觉得胃渐渐饱满充实。	14	1	0	[1.0, 2.2027832891069465e-09]
少	但看面相,他起码比真实的年龄少十岁!	14	数十人在一起,有老有少,有男有女,难以同唱一首歌。	10	1	1	[0.39716047048568726, 0.602839469909668]
日子	摆勺村依托贵阳市场大种经济作物,日子愈发舒心。	16	《中国:与贫困决战》告诉人们,实现这个嘱托的日子已经为期不远了。	22	0	1	[2.0420493631172062e-17, 1.0]
老	像我今年这样种卫生田,是老来京郊乡居不得已的创造,说它野趣也罢,反正是登不得大雅之堂,写不进《作物栽培法》的。	12	如果家长老盯着缺点,无异于在火山口加了重压,火山就没有力量喷发了。	4	1	1	[1.1289682025610731e-14, 1.0]
包	新华社呼和浩特一月十七日电(记者柴海亮、尹洪东)内蒙古自治区第九届人民代表大会第一次会议一月十七日选举刘明祖为自治区人大常委会主任,白音(蒙古族)、宋志民、张廷武、包文发(蒙古族)、贾才、王秀梅(女、蒙古族)、舍勒巴图(鄂伦春族)、张鹤松、陈瑞清为自治区人大常委会副主任;选举云布龙(蒙古族)为自治区主席,周德海、沈淑济(女)、周维德、王凤岐(蒙古族)、宝音德力格尔(蒙古族)、云公民(蒙古族)、傅守正、郝益东为自治区副主席;选举巴士杰(蒙古族)为自治区高级人民法院院长。	82	图⑥苗家香茗敬亲人(包旭东摄)	10	1	1	[0.32053449749946594, 0.6794655323028564]
研究	国外最近的一项研究表明,与同行业兼并相比,对其他行业、特别是无关联行业的企业进行兼并,成功率很低。	7	但他却把自己研究、探索出的新技术、经验,编写成科普读物,向社会传播。	6	1	0	[1.0, 1.589593174910752e-30]
起来	这回,我决定用教师特有的“武器”狠狠刺激他,于是冲他嚷道:“唐子穆,你站起来吧,直到你说累了为止。	36	邓小平同志说:“如果走资本主义道路,可以使中国百分之几的人富裕起来,但是绝对解决不了百分之九十几的人生活富裕的问题”,“只有社会主义制度才能从根本上解决摆脱贫穷的问题”。	31	0	1	[0.031429942697286606, 0.9685700535774231]
运动	他联系时代的特征深入思考20世纪社会主义运动的经验教训,明确指出社会主义的根本任务是发展生产力,在发展生产力的基础上体现出优于资本主义,为实现共产主义创造物质基础。	20	霍金由于患有运动神经元疾病身体瘫痪而不能说话,只能坐在轮椅上通过电脑语音合成器讲话。	6	0	0	[1.0, 0.0]
突出	据新华社北京1月9日电解放军总参谋部、总政治部日前发出通报,对带兵爱兵表现突出、成绩显著的102名优秀基层干部和155名优秀班长予以表彰,并为他们颁发荣誉证书。	37	(三)为保护电力设施而同自然灾害作斗争,成绩突出;	22	1	1	[5.076155498828209e-29, 1.0]
走	困难从无路的地方走来,朱世勇同它们对视着,陷入凝重的沉思。	8	实现我国的三步走发展战略,实现提高人民物质和文化生活水平的根本宗旨,一方面需要安定团结的国内政局,另一方面需要和平的国际环境,特别是良好的周边环境。	7	1	1	[0.35953935980796814, 0.6404606103897095]
包	新华社呼和浩特一月十七日电(记者柴海亮、尹洪东)内蒙古自治区第九届人民代表大会第一次会议一月十七日选举刘明祖为自治区人大常委会主任,白音(蒙古族)、宋志民、张廷武、包文发(蒙古族)、贾才、王秀梅(女、蒙古族)、舍勒巴图(鄂伦春族)、张鹤松、陈瑞清为自治区人大常委会副主任;选举云布龙(蒙古族)为自治区主席,周德海、沈淑济(女)、周维德、王凤岐(蒙古族)、宝音德力格尔(蒙古族)、云公民(蒙古族)、傅守正、郝益东为自治区副主席;选举巴士杰(蒙古族)为自治区高级人民法院院长。	82	张德邻来自北方,饺子包得很熟练。	10	0	1	[0.06131843850016594, 0.9386816024780273]
走	新疆农科院的科技人员,不当书斋学者,走出高楼深院,以广阔天地为实验室,活跃在田间地头。	18	1996年3月,第一台“创佳”彩电走下了生产线。	17	1	0	[0.9814563989639282, 0.018543541431427002]
老	谈到学生困惑的原因,昆明八中生物教师张穗说:“这本教材和4年前使用的老教材相比,应该说趣味性有所增强。	34	九十三岁高龄的臧克家老,正在病中,他把我约到家中,认真听我说了筹建爱心书屋的设想后,连声说:“善举,善举!	10	0	1	[0.19502723217010498, 0.8049727082252502]
